vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
,A,1500,751,5,6,False,A,7,3,117,0,0,8,2,1,1,0,0,1,3,1,1
,A,1500,751,4,6,False,A,5,4,782,0,0,5,1,1,0,1,1,0,3,1,1
,A,1500,751,3,6,False,,8,5,782,0,0,3,1,1,0,0,1,1,3,0,0
,A,1500,751,5,6,False,A,7,3,795,0,0,7,2,0,1,1,0,1,3,1,1
,B,1500,751,1,3,False,A,5,6,760,0,0,4,1,0,0,0,0,2,2,1,1
,B,1500,751,7,6,False,A,10,3,75,0,0,9,1,0,0,1,0,0,1,1,1
,B,1500,751,3,3,False,,6,8,770,0,0,5,1,0,1,0,1,0,2,0,0
,A,1500,751,5,6,False,A,7,7,115,0,0,7,0,0,0,0,0,3,3,1,1
,A,1500,751,3,5,False,A,8,1,757,0,0,7,0,2,1,0,0,2,5,1,0
,A,1500,751,2,7,False,,6,6,108,0,0,6,2,2,1,0,0,1,4,0,1
,B,1500,751,5,5,False,A,5,6,78,0,0,8,0,0,1,1,0,0,2,1,0
,B,1500,751,4,6,False,,6,4,766,0,0,6,1,2,1,1,0,1,5,0,1
,B,1500,751,6,7,False,B,8,3,771,0,0,5,1,1,1,1,0,1,4,1,1
,A,1500,751,4,9,False,A,5,4,772,0,0,7,1,1,2,1,0,0,4,1,1
B,A,162,81,9,11,False,,9,6,116,0,0,8,2,1,0,1,0,0,2,0,1
,A,1500,751,7,4,False,,6,3,778,0,0,7,1,0,2,1,0,3,6,0,1
,A,1500,751,8,6,False,A,9,4,776,0,0,3,2,1,0,0,0,1,2,1,0
,B,1500,751,4,5,False,A,9,2,774,0,0,8,0,1,0,1,1,0,3,1,0
,A,1500,751,3,4,False,A,6,4,762,0,0,6,1,0,1,1,0,2,4,1,0
,B,1500,751,2,2,False,A,6,4,758,0,0,5,0,0,1,1,1,0,3,1,1
,A,1500,751,4,7,False,A,7,2,775,0,0,8,1,2,0,1,0,0,3,1,0
,B,1500,751,7,4,False,A,8,3,770,0,0,6,2,1,0,1,0,0,2,1,1
,B,1500,751,9,9,False,,10,2,115,1,2,7,0,0,1,1,0,1,3,1,0
,A,1500,751,6,8,False,A,5,2,791,0,0,4,2,1,4,1,0,0,6,1,2
,B,1500,751,3,4,False,,7,6,765,0,0,4,0,0,0,0,2,1,3,0,0
,B,1500,751,3,4,False,,7,3,768,0,0,4,0,1,0,1,0,1,3,0,1
,A,1500,751,5,8,False,,6,8,121,0,0,7,1,0,2,0,0,0,2,0,0
B,A,118,59,5,10,False,,6,2,74,0,0,6,2,0,2,1,3,0,6,0,1
,B,1500,751,3,3,False,,7,4,773,0,0,4,1,0,1,0,0,1,2,0,2
,B,1500,751,5,6,False,A,9,2,790,0,0,8,2,0,1,0,0,0,1,1,2
,A,1500,751,7,9,False,A,5,3,82,0,0,7,2,0,0,0,0,2,2,1,1
,B,1500,751,5,3,False,,5,5,779,0,0,4,2,2,0,0,0,0,2,0,1
,A,1500,751,1,2,False,,6,2,765,1,2,4,0,1,2,0,0,2,5,1,1
,B,1500,751,5,6,False,A,7,1,778,0,0,8,1,1,0,1,1,0,3,1,1
