vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
A,A,163,82,10,5,False,,4,6,148,0,0,8,2,1,2,1,0,0,4,0,0
A,A,143,72,10,4,False,B,3,6,133,0,0,3,2,1,1,1,2,1,6,1,0
B,A,192,96,4,10,False,,10,4,178,0,0,6,0,0,0,1,1,0,2,0,0
B,A,250,125,6,10,False,,8,4,238,0,0,4,0,1,2,0,1,1,5,0,0
A,A,191,96,10,8,False,,6,5,180,0,0,4,1,1,1,1,0,2,5,0,0
B,A,186,93,5,10,False,,6,9,171,0,0,7,0,0,1,2,0,0,3,0,0
A,A,187,94,10,9,False,,11,3,172,0,0,6,1,0,0,1,0,1,2,0,0
B,B,235,118,8,10,False,,4,5,226,0,0,5,3,2,2,0,1,0,5,0,0
A,B,206,103,10,7,False,A,8,3,195,0,0,9,0,0,0,1,0,3,4,1,0
B,A,194,97,6,10,False,,8,4,182,0,0,5,0,2,0,1,1,1,5,0,0
B,B,213,107,9,10,False,,11,3,199,0,0,7,1,0,1,0,0,0,1,0,0
A,B,206,103,10,6,False,,8,5,193,0,0,5,1,0,0,1,2,0,3,0,0
B,A,232,116,7,10,False,,7,9,216,0,0,6,0,0,0,1,2,1,4,0,0
B,A,220,110,8,10,False,,8,6,206,0,0,11,0,1,2,0,1,0,4,0,0
A,B,164,82,10,7,False,,11,3,150,0,0,3,1,0,1,1,0,0,2,0,0
A,A,283,142,10,8,False,,9,3,271,0,0,5,0,1,2,0,2,2,7,0,0
B,A,198,100,9,11,False,,8,7,183,0,0,5,1,2,0,2,0,0,4,0,0
A,A,231,116,10,8,False,,9,1,221,0,0,6,2,0,0,0,1,1,2,0,0
