vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,B,183,92,7,10,False,,9,6,168,1,2,4,0,0,0,0,0,0,1,0,0
A,A,185,93,10,8,False,A,4,7,171,1,2,7,0,0,1,2,0,1,5,1,0
A,A,259,130,10,9,False,,5,5,249,0,0,3,1,1,0,1,1,1,4,0,0
B,A,208,104,5,10,False,B,5,4,199,0,0,9,0,0,1,0,3,2,6,1,0
A,B,276,138,10,9,False,,7,5,264,0,0,6,0,0,1,0,1,3,5,0,0
A,A,239,120,10,6,False,,8,4,227,0,0,6,0,0,1,0,1,2,4,0,0
B,A,220,110,9,10,False,,8,4,208,0,0,6,1,2,0,1,1,0,4,0,1
B,A,232,116,9,10,False,,9,3,220,0,0,6,0,0,2,1,2,1,6,0,0
A,B,210,105,10,8,False,,14,2,194,0,0,4,1,0,0,0,1,0,1,0,0
B,A,270,135,8,10,False,,8,2,260,0,0,6,0,1,0,0,3,2,6,0,0
B,A,138,69,5,10,False,,11,1,124,0,0,7,0,1,1,1,0,0,3,0,0
B,A,162,82,8,10,False,,9,1,152,0,0,6,1,1,2,1,0,0,4,0,0
B,B,243,122,9,10,False,B,8,5,230,0,0,8,1,1,0,0,2,1,4,1,0
B,A,208,104,8,10,False,,10,4,194,0,0,4,1,1,2,0,1,0,4,0,0
B,B,265,133,9,10,False,,11,3,251,0,0,5,1,0,0,0,0,1,1,0,0
B,A,220,110,7,10,False,,4,7,209,0,0,6,0,0,3,1,0,1,5,0,0
B,A,190,96,8,10,False,,8,6,176,0,0,5,0,1,1,1,0,1,4,0,0
B,B,223,112,7,10,False,,11,2,210,0,0,5,0,0,1,0,0,1,2,0,0
B,B,176,89,8,10,False,,10,4,162,0,0,5,0,0,2,1,1,0,4,0,0
A,B,148,74,10,8,False,,6,5,135,0,0,4,1,1,1,1,0,1,4,0,0
A,B,186,93,10,9,False,,8,3,175,1,2,4,0,1,2,0,0,1,5,0,0
B,B,279,140,8,10,False,,8,4,267,0,0,6,0,2,1,0,1,2,6,0,0
A,A,341,171,10,9,False,,8,2,331,0,0,5,1,1,2,0,1,0,4,0,0
A,B,172,86,10,6,False,,9,3,160,0,0,2,0,1,0,0,2,1,4,0,0
